filename,focalID,trial,recorder,resident,blackwidow,weight,egg_present,mated,contest_ID,contest_black,contest_weight,contest_mated,structural,gumfooted,bodyshakes,abdomenpulse,contact,time_to_contact,leg_touch,chelicerae_touch,silk_spray,silk_attempt,kerfuffle,retreat,time_to_retreat,left_web,time_to_leave_web,victory,vic_tie,Note
121t3 ,211,3,Sharon,0,1,0.404,1,0,121,1,0.222,1,41,31,1,9,1,120,1,0,0,0,0,0,,0,,0,0,
121t3 ,121,3,Sharon,1,1,0.222,1,1,211,1,0.404,0,41,31,68,23,1,120,1,0,0,0,0,1,160,0,,0,0,
121t2,121,2,Cam,1,1,0.33,0,1,14,0,0.15,1,16,56,6,17,1,78,1,0,1,1,0,0,,0,121,1,1,
121t2,14,2,Cam,0,0,0.15,0,1,121,1,0.33,1,16,56,0,0,1,78,1,0,0,0,0,1,81,1,121,0,2,
121t1 ,121,1,Cam,1,1,0.27,1,1,112,1,0.51,0,3,13,118,112,0,,0,0,0,0,0,0,,0,,0,0,
121t1 ,112,1,Cam,0,1,0.51,1,0,121,1,0.27,1,3,13,0,0,0,,0,0,0,0,0,0,,0,,0,0,
120t5,120,5,Cam,1,1,0.238,1,1,44,0,0.195,0,16,30,0,0,0,,0,0,0,0,0,0,,0,16,1,1,
120t5,44,5,Cam,0,0,0.195,1,0,120,1,0.238,1,16,30,0,0,0,,0,0,0,0,0,1,16,1,16,0,2,
120t4 ,120,4,LP,1,1,0.295,0,1,84,0,0.33,1,12,172,15,28,0,,0,0,0,0,0,0,,0,,0,0,
120t4 ,84,4,LP,0,0,0.33,0,1,120,1,0.295,1,12,172,0,0,0,,0,0,0,0,0,0,,0,,0,0,
120t3,120,3,Cam,1,1,0.285,0,1,103,1,0.261,0,58,22,0,47,1,39,1,0,0,0,0,0,,0,255,1,1,
120t3,103,3,Cam,0,1,0.261,0,0,120,1,0.285,1,58,22,0,0,1,39,1,0,0,0,0,1,251,1,255,0,2,
120t2 ,120,2,Sharon,1,1,0.32,0,1,79,0,0.068,1,16,51,4,68,0,,0,0,0,0,0,0,,0,,0,0,
120t2 ,79,2,Sharon,0,0,0.068,0,1,120,1,0.32,1,16,51,0,0,0,,0,0,0,0,0,0,,0,,0,0,
